Date,ts_code,Open,High,Low,Close,pre_close,change,pct_chg,vol,Volume
2020-01-02,000027.SZ,6.26,6.28,6.22,6.23,6.21,0.02,0.3221,91727.99,57306.377
2020-01-03,000027.SZ,6.24,6.26,6.2,6.26,6.23,0.03,0.4815,79113.73,49311.501
2020-01-06,000027.SZ,6.24,6.28,6.21,6.24,6.26,-0.02,-0.3195,111752.19,69810.954
2020-01-07,000027.SZ,6.24,6.35,6.22,6.31,6.24,0.07,1.1218,130866.99,82374.581
2020-01-08,000027.SZ,6.29,6.29,6.11,6.14,6.31,-0.17,-2.6941,150503.51,93209.778
2020-01-09,000027.SZ,6.16,6.25,6.16,6.19,6.14,0.05,0.8143,76713.3,47451.123
2020-01-10,000027.SZ,6.2,6.22,6.15,6.17,6.19,-0.02,-0.3231,59403.2,36704.205
2020-01-13,000027.SZ,6.17,6.23,6.15,6.23,6.17,0.06,0.9724,80239.93,49650.452
2020-01-14,000027.SZ,6.22,6.26,6.2,6.21,6.23,-0.02,-0.321,57156.13,35589.131
2020-01-15,000027.SZ,6.25,6.27,6.12,6.14,6.21,-0.07,-1.1272,133586.54,82302.446
2020-01-16,000027.SZ,6.15,6.16,6.08,6.09,6.14,-0.05,-0.8143,76418.2,46653.973
2020-01-17,000027.SZ,6.1,6.2,6.08,6.12,6.09,0.03,0.4926,83872.93,51423.779
2020-01-20,000027.SZ,6.13,6.13,6.05,6.11,6.12,-0.01,-0.1634,91524.43,55671.844
2020-01-21,000027.SZ,6.11,6.11,6.01,6.03,6.11,-0.08,-1.3093,81958.78,49538.009
2020-01-22,000027.SZ,6.02,6.04,5.94,6.0,6.03,-0.03,-0.4975,82324.8,49242.491
2020-01-23,000027.SZ,6.0,6.0,5.87,5.91,6.0,-0.09,-1.5,100754.55,59689.597
2020-02-03,000027.SZ,5.32,5.36,5.32,5.32,5.91,-0.59,-9.9831,107933.49,57466.065
2020-02-04,000027.SZ,5.18,5.39,5.18,5.32,5.32,0.0,0.0,125388.48,66837.717
2020-02-05,000027.SZ,5.32,5.45,5.31,5.37,5.32,0.05,0.9398,116718.01,62872.16
2020-02-06,000027.SZ,5.41,5.45,5.34,5.43,5.37,0.06,1.1173,93173.24,50310.726
2020-02-07,000027.SZ,5.44,5.44,5.32,5.43,5.43,0.0,0.0,159057.88,85263.631
2020-02-10,000027.SZ,5.41,5.53,5.38,5.5,5.43,0.07,1.2891,126523.54,69150.857
2020-02-11,000027.SZ,5.5,5.57,5.46,5.52,5.5,0.02,0.3636,83902.44,46387.226
2020-02-12,000027.SZ,5.52,5.59,5.5,5.58,5.52,0.06,1.087,70709.81,39205.211
2020-02-13,000027.SZ,5.58,5.58,5.49,5.49,5.58,-0.09,-1.6129,82080.05,45315.776
2020-02-14,000027.SZ,5.51,5.52,5.46,5.49,5.49,0.0,0.0,60516.4,33234.131
2020-02-17,000027.SZ,5.52,5.6,5.48,5.6,5.49,0.11,2.0036,103380.72,57602.773
2020-02-18,000027.SZ,5.59,5.65,5.55,5.62,5.6,0.02,0.3571,110550.4,61819.138
2020-02-19,000027.SZ,5.6,5.63,5.57,5.6,5.62,-0.02,-0.3559,77428.22,43330.946
2020-02-20,000027.SZ,5.6,5.69,5.56,5.67,5.6,0.07,1.25,117423.5,65957.643
2020-02-21,000027.SZ,5.67,5.7,5.61,5.66,5.67,-0.01,-0.1764,120745.3,68358.65
2020-02-24,000027.SZ,5.66,5.68,5.58,5.62,5.66,-0.04,-0.7067,115339.69,64838.845
2020-02-25,000027.SZ,5.55,5.57,5.41,5.53,5.62,-0.09,-1.6014,166548.47,91521.088
2020-02-26,000027.SZ,5.46,5.58,5.43,5.56,5.53,0.03,0.5425,128233.95,70817.661
2020-02-27,000027.SZ,5.56,5.7,5.54,5.59,5.56,0.03,0.5396,117237.39,65909.897
2020-02-28,000027.SZ,5.52,5.53,5.4,5.43,5.59,-0.16,-2.8623,122042.56,66599.072
2020-03-02,000027.SZ,5.43,5.62,5.43,5.59,5.43,0.16,2.9466,120131.31,66742.741
2020-03-03,000027.SZ,5.66,5.69,5.58,5.63,5.59,0.04,0.7156,128753.91,72504.96
2020-03-04,000027.SZ,5.62,5.69,5.6,5.65,5.63,0.02,0.3552,92046.32,51895.842
2020-03-05,000027.SZ,5.69,5.77,5.67,5.74,5.65,0.09,1.5929,182615.49,104609.997
2020-03-06,000027.SZ,5.71,5.71,5.64,5.66,5.74,-0.08,-1.3937,112722.67,63867.689
2020-03-09,000027.SZ,5.61,5.61,5.53,5.54,5.66,-0.12,-2.1201,122764.67,68274.433
2020-03-10,000027.SZ,5.47,5.61,5.46,5.59,5.54,0.05,0.9025,134460.64,74628.72
2020-03-11,000027.SZ,5.59,5.63,5.55,5.56,5.59,-0.03,-0.5367,103683.07,57809.453
2020-03-12,000027.SZ,5.5,5.52,5.45,5.47,5.56,-0.09,-1.6187,88927.7,48689.12
2020-03-13,000027.SZ,5.3,5.47,5.26,5.43,5.47,-0.04,-0.7313,125084.55,67042.555
2020-03-16,000027.SZ,5.48,5.5,5.31,5.33,5.43,-0.1,-1.8416,93754.31,50677.486
2020-03-17,000027.SZ,5.3,5.42,5.27,5.34,5.33,0.01,0.1876,96011.23,51200.795
2020-03-18,000027.SZ,5.38,5.42,5.28,5.29,5.34,-0.05,-0.9363,84191.92,45010.654
2020-03-19,000027.SZ,5.27,5.36,5.21,5.34,5.29,0.05,0.9452,122988.92,65085.081
2020-03-20,000027.SZ,5.37,5.44,5.31,5.38,5.34,0.04,0.7491,74594.01,40073.042
2020-03-23,000027.SZ,5.32,5.41,5.31,5.33,5.38,-0.05,-0.9294,68497.64,36657.017
2020-03-24,000027.SZ,5.39,5.43,5.35,5.4,5.33,0.07,1.3133,80852.4,43617.571
2020-03-25,000027.SZ,5.49,5.5,5.4,5.44,5.4,0.04,0.7407,72609.29,39450.529
2020-03-26,000027.SZ,5.39,5.43,5.37,5.4,5.44,-0.04,-0.7353,50011.88,26970.859
2020-03-27,000027.SZ,5.43,5.47,5.39,5.42,5.4,0.02,0.3704,63996.49,34757.796
2020-03-30,000027.SZ,5.36,5.44,5.33,5.41,5.42,-0.01,-0.1845,62472.99,33648.544
2020-03-31,000027.SZ,5.44,5.46,5.37,5.38,5.41,-0.03,-0.5545,45408.12,24563.424
2020-04-01,000027.SZ,5.38,5.43,5.34,5.37,5.38,-0.01,-0.1859,59148.03,31866.471
2020-04-02,000027.SZ,5.33,5.41,5.33,5.41,5.37,0.04,0.7449,54076.16,29106.874
