Date,ts_code,Open,High,Low,Close,pre_close,change,pct_chg,vol,Volume
2020-01-02,000004.SZ,22.65,22.9,22.17,22.33,22.59,-0.26,-1.151,17853.2,40144.977
2020-01-03,000004.SZ,22.31,22.48,22.03,22.35,22.33,0.02,0.0896,13380.09,29779.317
2020-01-06,000004.SZ,22.2,22.2,21.55,21.75,22.35,-0.6,-2.6846,20316.99,44304.874
2020-01-07,000004.SZ,21.8,22.2,21.67,22.1,21.75,0.35,1.6092,17433.2,38299.735
2020-01-08,000004.SZ,21.91,22.77,21.78,21.78,22.1,-0.32,-1.448,15503.78,34574.063
2020-01-09,000004.SZ,22.11,22.5,21.8,22.32,21.78,0.54,2.4793,12415.32,27618.678
2020-01-10,000004.SZ,22.5,22.8,22.15,22.33,22.32,0.01,0.0448,17227.0,38594.631
2020-01-13,000004.SZ,22.5,23.7,22.33,23.03,22.33,0.7,3.1348,35126.48,80788.795
2020-01-14,000004.SZ,22.96,23.36,22.75,23.0,23.03,-0.03,-0.1303,19488.16,44925.565
2020-01-15,000004.SZ,23.02,23.02,22.35,22.55,23.0,-0.45,-1.9565,14543.01,32867.949
2020-01-16,000004.SZ,22.81,22.81,22.13,22.46,22.55,-0.09,-0.3991,13060.55,29221.955
2020-01-17,000004.SZ,22.3,22.6,22.18,22.24,22.46,-0.22,-0.9795,10451.42,23375.135
2020-01-20,000004.SZ,22.68,23.6,22.6,23.33,22.24,1.09,4.9011,28042.52,65069.386
2020-01-21,000004.SZ,23.47,23.98,22.98,23.55,23.33,0.22,0.943,27734.09,65161.618
2020-01-22,000004.SZ,23.51,24.18,23.03,23.7,23.55,0.15,0.6369,25890.01,61303.986
2020-01-23,000004.SZ,23.01,23.8,22.45,22.82,23.7,-0.88,-3.7131,26265.72,60624.416
2020-02-03,000004.SZ,20.54,20.54,20.54,20.54,22.82,-2.28,-9.9912,4300.0,8832.2
2020-02-04,000004.SZ,18.51,20.1,18.51,19.73,20.54,-0.81,-3.9435,32157.1,62466.364
2020-02-05,000004.SZ,19.71,21.36,19.71,21.12,19.73,1.39,7.0451,28554.5,58674.385
2020-02-06,000004.SZ,21.16,22.18,20.91,21.76,21.12,0.64,3.0303,23748.0,51480.051
2020-02-07,000004.SZ,21.58,22.03,21.0,21.57,21.76,-0.19,-0.8732,25770.51,55235.268
2020-02-10,000004.SZ,21.78,22.18,21.38,21.9,21.57,0.33,1.5299,22118.18,48091.949
2020-02-11,000004.SZ,21.82,21.92,21.21,21.37,21.9,-0.53,-2.4201,17746.45,38129.473
2020-02-12,000004.SZ,21.37,21.76,21.1,21.63,21.37,0.26,1.2167,13620.0,29355.418
2020-02-13,000004.SZ,21.6,21.62,21.25,21.3,21.63,-0.33,-1.5257,13368.01,28599.546
2020-02-14,000004.SZ,21.49,21.78,21.16,21.34,21.3,0.04,0.1878,14508.0,31093.681
2020-02-17,000004.SZ,22.05,23.47,21.91,23.47,21.34,2.13,9.9813,29755.2,68272.475
2020-02-18,000004.SZ,24.88,25.82,23.7,25.82,23.47,2.35,10.0128,65499.14,162710.522
2020-02-19,000004.SZ,26.84,28.4,26.84,28.4,25.82,2.58,9.9923,28798.11,80680.6
