Date,ts_code,Open,High,Low,Close,pre_close,change,pct_chg,vol,Volume
2020-01-02,000014.SZ,9.38,9.48,9.37,9.42,9.31,0.11,1.1815,23834.12,22421.411
2020-01-03,000014.SZ,9.41,9.45,9.35,9.42,9.42,0.0,0.0,14183.58,13330.049
2020-01-06,000014.SZ,9.36,9.45,9.2,9.34,9.42,-0.08,-0.8493,22953.37,21438.619
2020-01-07,000014.SZ,9.34,10.09,9.33,9.99,9.34,0.65,6.9593,94994.9,93167.457
2020-01-08,000014.SZ,9.82,9.93,9.62,9.74,9.99,-0.25,-2.5025,45416.85,44303.446
2020-01-09,000014.SZ,9.74,9.82,9.66,9.69,9.74,-0.05,-0.5133,21882.28,21251.107
2020-01-10,000014.SZ,9.69,9.96,9.65,9.71,9.69,0.02,0.2064,24831.11,24364.627
2020-01-13,000014.SZ,9.71,9.76,9.61,9.74,9.71,0.03,0.309,14524.74,14071.55
2020-01-14,000014.SZ,9.78,9.87,9.71,9.71,9.74,-0.03,-0.308,17396.41,17017.671
2020-01-15,000014.SZ,9.73,9.78,9.58,9.62,9.71,-0.09,-0.9269,12490.0,12033.005
2020-01-16,000014.SZ,9.62,9.63,9.46,9.47,9.62,-0.15,-1.5593,14018.0,13350.271
2020-01-17,000014.SZ,9.47,9.6,9.41,9.42,9.47,-0.05,-0.528,11787.49,11150.142
2020-01-20,000014.SZ,9.42,9.48,9.37,9.44,9.42,0.02,0.2123,10280.0,9683.439
2020-01-21,000014.SZ,9.42,9.43,9.32,9.33,9.44,-0.11,-1.1653,10953.01,10255.693
2020-01-22,000014.SZ,9.35,9.43,9.21,9.37,9.33,0.04,0.4287,10827.02,10098.699
2020-01-23,000014.SZ,9.36,9.46,9.06,9.12,9.37,-0.25,-2.6681,22776.0,20973.937
2020-02-03,000014.SZ,8.21,8.21,8.21,8.21,9.12,-0.91,-9.9781,8928.0,7329.888
2020-02-04,000014.SZ,7.39,8.0,7.39,7.9,8.21,-0.31,-3.7759,29994.37,23450.34
2020-02-05,000014.SZ,7.88,8.23,7.85,8.06,7.9,0.16,2.0253,20407.31,16464.916
2020-02-06,000014.SZ,8.06,8.14,7.99,8.08,8.06,0.02,0.2481,24460.34,19712.894
2020-02-07,000014.SZ,8.03,8.1,7.95,8.09,8.08,0.01,0.1238,21265.02,17080.328
2020-02-10,000014.SZ,8.06,8.25,7.93,8.23,8.09,0.14,1.7305,18829.6,15321.869
2020-02-11,000014.SZ,8.25,8.48,8.25,8.41,8.23,0.18,2.1871,24861.59,20864.856
2020-02-12,000014.SZ,8.41,8.42,8.31,8.41,8.41,0.0,0.0,19850.79,16629.185
2020-02-13,000014.SZ,8.39,8.58,8.31,8.35,8.41,-0.06,-0.7134,21149.01,17768.081
2020-02-14,000014.SZ,8.36,8.44,8.31,8.39,8.35,0.04,0.479,16472.01,13780.744
2020-02-17,000014.SZ,8.39,8.57,8.31,8.56,8.39,0.17,2.0262,25029.03,21254.059
2020-02-18,000014.SZ,8.58,8.58,8.45,8.58,8.56,0.02,0.2336,19639.88,16752.703
2020-02-19,000014.SZ,8.51,8.7,8.5,8.54,8.58,-0.04,-0.4662,17086.3,14698.873
2020-02-20,000014.SZ,8.54,8.62,8.5,8.61,8.54,0.07,0.8197,30084.2,25755.785
2020-02-21,000014.SZ,8.62,8.67,8.56,8.64,8.61,0.03,0.3484,25056.13,21569.676
2020-02-24,000014.SZ,8.61,8.63,8.41,8.56,8.64,-0.08,-0.9259,28022.01,23851.83
2020-02-25,000014.SZ,8.43,8.44,8.16,8.39,8.56,-0.17,-1.986,27545.07,22925.386
2020-02-26,000014.SZ,8.26,8.62,8.24,8.47,8.39,0.08,0.9535,35786.32,30533.224
2020-02-27,000014.SZ,8.48,8.58,8.4,8.52,8.47,0.05,0.5903,28962.54,24612.438
2020-02-28,000014.SZ,8.4,8.45,8.13,8.16,8.52,-0.36,-4.2254,27916.99,23092.447
2020-03-02,000014.SZ,8.11,8.46,8.11,8.43,8.16,0.27,3.3088,23483.43,19673.696
2020-03-03,000014.SZ,8.48,8.87,8.43,8.79,8.43,0.36,4.2705,49694.98,42827.688
2020-03-04,000014.SZ,8.66,8.99,8.56,8.86,8.79,0.07,0.7964,59399.96,52011.325
2020-03-05,000014.SZ,8.84,8.93,8.7,8.85,8.86,-0.01,-0.1129,42385.1,37400.927
2020-03-06,000014.SZ,8.75,8.84,8.62,8.78,8.85,-0.07,-0.791,32312.06,28221.202
2020-03-09,000014.SZ,8.65,8.7,8.35,8.37,8.78,-0.41,-4.6697,35708.0,30384.504
2020-03-10,000014.SZ,8.25,8.5,8.17,8.47,8.37,0.1,1.1947,30177.02,25189.114
2020-03-11,000014.SZ,8.47,8.66,8.42,8.58,8.47,0.11,1.2987,30512.74,26134.496
2020-03-12,000014.SZ,8.4,8.47,8.28,8.35,8.58,-0.23,-2.6807,25638.71,21433.904
2020-03-13,000014.SZ,7.96,8.36,7.86,8.2,8.35,-0.15,-1.7964,30113.05,24361.522
2020-03-16,000014.SZ,8.2,8.48,8.06,8.15,8.2,-0.05,-0.6098,26551.15,21889.596
2020-03-17,000014.SZ,8.18,8.2,7.77,8.0,8.15,-0.15,-1.8405,23704.38,18884.335
2020-03-18,000014.SZ,8.11,8.15,7.88,7.89,8.0,-0.11,-1.375,17827.0,14331.939
2020-03-19,000014.SZ,7.89,7.93,7.75,7.92,7.89,0.03,0.3802,16495.03,12919.626
2020-03-20,000014.SZ,7.98,8.05,7.89,8.04,7.92,0.12,1.5152,10956.02,8733.486
2020-03-23,000014.SZ,7.95,7.96,7.78,7.9,8.04,-0.14,-1.7413,17254.01,13627.009
2020-03-24,000014.SZ,7.98,8.03,7.87,8.02,7.9,0.12,1.519,10943.0,8721.815
2020-03-25,000014.SZ,8.12,8.3,8.04,8.18,8.02,0.16,1.995,26032.4,21245.695
2020-03-26,000014.SZ,8.11,8.17,7.99,8.01,8.18,-0.17,-2.0782,18823.01,15179.806
2020-03-27,000014.SZ,8.1,8.14,8.02,8.04,8.01,0.03,0.3745,15777.39,12762.574
2020-03-30,000014.SZ,8.0,8.0,7.72,7.83,8.04,-0.21,-2.6119,18078.3,14089.774
2020-03-31,000014.SZ,7.9,7.93,7.81,7.82,7.83,-0.01,-0.1277,11424.02,8997.49
2020-04-01,000014.SZ,7.85,7.89,7.78,7.79,7.82,-0.03,-0.3836,10047.0,7872.879
2020-04-02,000014.SZ,7.78,7.87,7.7,7.87,7.79,0.08,1.027,10147.05,7908.788
2020-04-03,000014.SZ,7.85,8.66,7.81,8.41,7.87,0.54,6.8615,63112.57,52150.106
2020-04-07,000014.SZ,8.26,8.42,8.2,8.32,8.41,-0.09,-1.0702,47523.17,39464.132
2020-04-08,000014.SZ,8.28,8.33,8.15,8.26,8.32,-0.06,-0.7212,26048.07,21436.529
2020-04-09,000014.SZ,8.28,8.41,8.25,8.32,8.26,0.06,0.7264,29477.11,24534.965
2020-04-10,000014.SZ,8.32,8.35,8.14,8.18,8.32,-0.14,-1.6827,27780.46,22841.816
2020-04-13,000014.SZ,8.2,8.26,8.14,8.14,8.18,-0.04,-0.489,16425.95,13467.297
2020-04-14,000014.SZ,8.15,8.24,8.14,8.19,8.14,0.05,0.6143,18429.0,15085.854
2020-04-15,000014.SZ,8.19,8.25,8.1,8.12,8.19,-0.07,-0.8547,14537.0,11884.226
2020-04-16,000014.SZ,8.12,8.29,8.06,8.22,8.12,0.1,1.2315,19665.1,16088.222
2020-04-17,000014.SZ,8.25,8.34,8.2,8.22,8.22,0.0,0.0,21905.0,18077.319
2020-04-20,000014.SZ,8.23,8.34,8.14,8.3,8.22,0.08,0.9732,22633.66,18668.616
2020-04-21,000014.SZ,8.27,8.52,8.2,8.46,8.3,0.16,1.9277,35505.07,29688.756
2020-04-22,000014.SZ,8.37,8.75,8.35,8.61,8.46,0.15,1.773,56175.85,48238.714
2020-04-23,000014.SZ,8.62,8.65,8.44,8.5,8.61,-0.11,-1.2776,32847.0,27991.069
2020-04-24,000014.SZ,8.5,8.54,8.31,8.36,8.5,-0.14,-1.6471,21431.37,17986.354
2020-04-27,000014.SZ,8.35,8.68,8.3,8.56,8.36,0.2,2.3923,40392.35,34386.585
